ID,Nick,Name,Total (year),Total (Game),% of Game,Total (Overall),% of Overall
274.,gMd^,Anthony Guimond,"$3,800.00","$22,100.00",17.19%,"$47,069.15",8.07%
275.,Corey,Corey Nigra,"$3,800.00","$26,100.00",14.56%,"$33,935.07",11.20%
276.,NaturE,Nicholas Garrison,"$3,800.00","$10,930.00",34.77%,"$10,930.00",34.77%
277.,seven,Johann Hernandez,"$3,800.00","$5,700.00",66.67%,"$5,700.00",66.67%
278.,A77,Aiden Hill,"$3,700.00","$4,500.00",82.22%,"$4,500.00",82.22%
279.,Moobs,Gabriel Powell,"$3,700.00","$4,324.45",85.56%,"$4,324.45",85.56%
280.,flare,Andy Le,"$3,700.00","$4,300.00",86.05%,"$4,300.00",86.05%
281.,Nahsie,Eishan Jaffer,"$3,700.00","$3,775.00",98.01%,"$3,775.00",98.01%
282.,Vash,Jessie Cuyco,"$3,666.67","$27,525.45",13.32%,"$52,915.69",6.93%
283.,BORKUM,Jim Timbreza,"$3,666.67","$27,525.45",13.32%,"$34,305.11",10.69%
284.,DubsteP,Jayvee Paguirigan,"$3,666.67","$27,525.45",13.32%,"$30,062.49",12.20%
285.,invy,Jiggs Reyes,"$3,666.67","$9,233.76",39.71%,"$9,233.76",39.71%
286.,JRemY,Jeremy Cabrera,"$3,666.67","$8,597.38",42.65%,"$8,597.38",42.65%
287.,elllement,Dragan Milanović,"$3,612.13","$6,640.91",54.39%,"$7,451.11",48.48%
288.,BennY,Benjamin Domgörgen,"$3,612.13","$6,235.85",57.93%,"$6,235.85",57.93%
289.,azury,Luca Sammer,"$3,612.13","$5,834.50",61.91%,"$5,834.50",61.91%
290.,Shazeon,Rene Cappel,"$3,612.13","$5,427.03",66.56%,"$5,427.03",66.56%
291.,flowerful,Kayla Horton,"$3,600.00","$37,380.00",9.63%,"$37,380.00",9.63%
292.,KP,Kiana Lytle,"$3,600.00","$37,140.00",9.69%,"$37,140.00",9.69%
293.,sonder,"Zhang, Diana","$3,600.00","$35,480.00",10.15%,"$35,480.00",10.15%
294.,tryst,Jit Dutta Choudhury,"$3,600.00","$3,843.68",93.66%,"$4,901.01",73.45%
295.,Lime,Jacob Foster,"$3,555.67","$9,381.22",37.90%,"$9,381.22",37.90%
296.,YaBoiLewis,Lewis Hughes,"$3,555.67","$7,431.95",47.84%,"$7,431.95",47.84%
297.,Ebeee,Abdulaziz Mohamed,"$3,517.86","$4,480.36",78.52%,"$5,047.59",69.69%
298.,Luj,Luj Mansur,"$3,511.29","$3,511.30",100.00%,"$3,511.30",100.00%
299.,madv,Modhi Alkanhal,"$3,511.29","$3,511.30",100.00%,"$3,511.30",100.00%
300.,Ruzica,Dhay Alfahmi,"$3,511.29","$3,511.30",100.00%,"$3,511.30",100.00%
301.,fznnn,Fernando Cerqueira,"$3,451.50","$14,730.71",23.43%,"$23,452.09",14.72%
302.,bldV,Victor Junqueira,"$3,451.50","$5,905.48",58.45%,"$17,406.13",19.83%
303.,Tisora,Kauã Martins,"$3,451.50","$4,112.04",83.94%,"$9,262.04",37.27%
304.,jacobin,Guilherme Jacob,"$3,451.50","$4,792.06",72.03%,"$4,792.06",72.03%
305.,komi,- -,"$3,400.00","$3,400.00",100.00%,"$3,400.00",100.00%
306.,xZe,Tanawat Kannark,"$3,299.04","$4,311.45",76.52%,"$4,311.45",76.52%
307.,Siraphop,Siraphop Honghirun,"$3,299.04","$3,824.93",86.25%,"$3,960.14",83.31%
308.,JUGi,Jakob Hansen,"$3,274.07","$5,365.27",61.02%,"$122,480.71",2.67%
309.,kpZET,Victor Steensgaard,"$3,274.07","$3,674.07",89.11%,"$7,408.99",44.19%
310.,bezn1,Gabriel Luiz da Costa,"$3,224.00","$13,134.48",24.55%,"$27,334.48",11.79%
311.,Vibhor,Vibhor Vaid,"$3,200.00","$18,388.32",17.40%,"$18,388.32",17.40%
312.,Kishi,"Ngô, Trường Huy","$3,200.00","$12,576.39",25.44%,"$14,468.52",22.12%
313.,tixx,Nick Quinn,"$3,200.00","$6,498.23",49.24%,"$6,498.23",49.24%
314.,Autumn,Kale Dunne,"$3,200.00","$5,528.93",57.88%,"$5,805.60",55.12%
315.,Hoax,Aman Yadav,"$3,200.00","$3,440.00",93.02%,"$3,549.23",90.16%
316.,Kohliii,Pranav Kohli,"$3,200.00","$3,308.00",96.74%,"$3,308.00",96.74%
317.,DOXZ3RRR,Soumyadeep Dey,"$3,200.00","$3,200.00",100.00%,"$3,200.00",100.00%
318.,Wenty,"Yang, Geon-mo","$3,190.00","$3,655.49",87.27%,"$3,655.49",87.27%
319.,RoLeX,Warittorn Kalanukarn,"$3,159.84","$3,818.93",82.74%,"$29,823.04",10.60%
320.,aLerT,Wattanachok Yingnakorn,"$3,159.84","$6,210.21",50.88%,"$6,325.24",49.96%
321.,LBY,Eisuke Kuraoka,"$3,159.84","$3,439.38",91.87%,"$3,439.38",91.87%
322.,gtnziN,Gustavo Moura,"$3,097.50","$25,236.70",12.27%,"$25,236.70",12.27%
323.,gaabxx,Gabriel Carli,"$3,097.50","$11,992.30",25.83%,"$12,394.02",24.99%
324.,CTC,Caio Torres,"$3,097.50","$7,015.55",44.15%,"$7,015.55",44.15%
325.,Leozin,Leonardo Quindeler,"$3,097.50","$3,097.50",100.00%,"$3,097.50",100.00%
326.,bucher1,Mohammed Yaqoob,"$3,095.00","$4,157.50",74.44%,"$4,924.17",62.85%
327.,Persia,"Yang, Zi On","$3,065.20","$4,497.37",68.16%,"$12,044.30",25.45%
328.,Felix,"Park, Hyeon-ho","$3,065.20","$5,692.05",53.85%,"$5,692.05",53.85%
329.,BeYN,"Kang, Ha bin","$3,065.20","$3,065.20",100.00%,"$3,065.20",100.00%
330.,Ruxic,Uğur Güç,"$3,031.03","$6,333.53",47.86%,"$6,333.53",47.86%
331.,Ale,Alend Khalaf,"$3,025.04","$6,062.85",49.89%,"$6,396.39",47.29%
332.,vicious,Benjamin Guilotte,"$3,025.04","$5,026.20",60.19%,"$5,026.20",60.19%
333.,lynxi,Felix Björklund,"$3,025.04","$4,299.34",70.36%,"$4,499.34",67.23%
334.,freddan,- -,"$3,025.04","$3,025.04",100.00%,"$3,025.04",100.00%
335.,adukaaaa,Arsyad Sazali,"$3,020.00","$5,459.13",55.32%,"$5,459.13",55.32%
336.,Brinks,João Silva,"$3,019.75","$3,496.52",86.36%,"$3,626.67",83.27%
337.,mazin,Matheus Araújo,"$3,000.00","$20,403.82",14.70%,"$143,968.86",2.08%
338.,hazed,James Cobb,"$3,000.00","$35,560.00",8.44%,"$136,589.92",2.20%
339.,dgz,Douglas Silva,"$3,000.00","$12,329.27",24.33%,"$133,995.94",2.24%
340.,Lorri,Lorrian Elad,"$3,000.00","$36,780.00",8.16%,"$36,780.00",8.16%
341.,qck,Gabriel Lima,"$3,000.00","$24,438.67",12.28%,"$24,548.48",12.22%
342.,mwzera,Leonardo Serrati,"$3,000.00","$24,343.27",12.32%,"$24,543.27",12.22%
343.,Khalil,Khalil Schmidt,"$3,000.00","$24,252.97",12.37%,"$24,252.97",12.37%
344.,Life,"Qu, Donghao","$3,000.00","$6,119.88",49.02%,"$6,119.88",49.02%
345.,YHchen,"Zhen-feng, Liu","$3,000.00","$3,441.67",87.17%,"$3,441.67",87.17%
346.,hfmi0dzjc9z7,"Juncheng, Zhang","$3,000.00","$3,108.48",96.51%,"$3,108.48",96.51%
347.,monk,"Haoyu, Wang","$3,000.00","$3,108.48",96.51%,"$3,108.48",96.51%
348.,Bunt,"He, Jiang","$3,000.00","$3,000.00",100.00%,"$3,000.00",100.00%
349.,NcSlasher,Sheldon Andersen,"$2,971.43","$15,108.40",19.67%,"$16,301.44",18.23%
350.,budimeister,Oliver Wangge,"$2,971.43","$9,145.42",32.49%,"$9,195.78",32.31%
351.,sayoo,Willy Ivandra,"$2,971.43","$6,931.08",42.87%,"$8,531.08",34.83%
352.,Mary,Maryam Maher,"$2,960.00","$40,882.47",7.24%,"$43,382.47",6.82%
353.,adverso,Benjamín Poblete,"$2,950.00","$36,697.55",8.04%,"$36,697.55",8.04%
354.,YanLi,- -,"$2,900.00","$2,900.00",100.00%,"$2,900.00",100.00%
355.,leonzhett,Leon Negrini,"$2,833.33","$2,973.33",95.29%,"$7,548.33",37.54%
356.,tinchoff,Martin Garcia,"$2,833.33","$2,833.33",100.00%,"$3,068.33",92.34%
357.,Cebando,- -,"$2,833.33","$2,933.33",96.59%,"$2,933.33",96.59%
358.,NicoMachine,Nicolas Valla,"$2,833.33","$2,833.33",100.00%,"$2,833.33",100.00%
359.,M1kE,Michael Smith,"$2,766.88","$3,828.13",72.28%,"$3,828.13",72.28%
360.,Winteryrook,Evgeniy Lenko,"$2,725.33","$11,378.94",23.95%,"$11,378.94",23.95%
361.,RockeT,Ahmed Mohamed,"$2,725.33","$11,175.33",24.39%,"$11,175.33",24.39%
362.,Aljassmi,- -,"$2,720.00","$2,720.00",100.00%,"$2,720.00",100.00%
363.,aimhunterr,Khalid Mohammed,"$2,717.86","$3,542.86",76.71%,"$9,594.06",28.33%
364.,mNdS,Rafael Mendes,"$2,717.50","$6,233.70",43.59%,"$138,847.72",1.96%
365.,v1nny,Vinícius Gonçalves,"$2,717.50","$7,587.21",35.82%,"$17,669.25",15.38%
366.,cortezia,Gabriel Cortez,"$2,717.50","$2,717.50",100.00%,"$2,717.50",100.00%
367.,xenon,Eduardo Soeiro,"$2,717.50","$2,717.50",100.00%,"$2,717.50",100.00%
368.,Masic,Sermet Demirer,"$2,713.03","$7,964.07",34.07%,"$7,964.07",34.07%
369.,DeepMans,Yiğithan Kesici,"$2,713.03","$6,009.51",45.15%,"$6,009.51",45.15%
370.,cacan,Mert Çaçan,"$2,713.03","$4,927.77",55.06%,"$4,927.77",55.06%
371.,Xhowi,Luis Enmanuel Corcino Garcia,"$2,700.00","$3,050.00",88.52%,"$3,050.00",88.52%
372.,chloric,- -,"$2,700.00","$3,000.00",90.00%,"$3,000.00",90.00%
373.,Dory,Dorian Kaba,"$2,700.00","$3,000.00",90.00%,"$3,000.00",90.00%
374.,Logan,Logan Coffey,"$2,700.00","$3,000.00",90.00%,"$3,000.00",90.00%
375.,nate,Nathanael Miles,"$2,700.00","$2,900.00",93.10%,"$2,900.00",93.10%
376.,toozy,Anthony De Leon,"$2,700.00","$2,850.00",94.74%,"$2,850.00",94.74%
377.,N11,- -,"$2,676.31","$2,676.31",100.00%,"$2,676.31",100.00%
378.,rezy,Thamer Nagadi,"$2,648.33","$4,819.75",54.95%,"$4,819.75",54.95%
379.,Jazzyk1ns,Jasmine Manankil,"$2,600.00","$37,900.00",6.86%,"$37,900.00",6.86%
380.,bstrdd,Paula Naguil,"$2,600.00","$30,714.35",8.47%,"$30,714.35",8.47%
381.,daiki,Natália Vilela,"$2,600.00","$30,714.35",8.47%,"$30,714.35",8.47%
382.,Marzil,Agneya Koushik,"$2,600.00","$11,491.58",22.63%,"$24,414.06",10.65%
383.,Clawdia,Claudia Che,"$2,600.00","$11,250.00",23.11%,"$11,250.00",23.11%
384.,isaa,Isabeli Esser,"$2,600.00","$10,618.00",24.49%,"$10,618.00",24.49%
385.,Joojina,Letícia Paiva,"$2,600.00","$5,793.93",44.87%,"$5,793.93",44.87%
386.,Bizerra,Vitoria Vieira,"$2,600.00","$4,912.35",52.93%,"$4,912.35",52.93%
387.,akaL4CE,Lacey Dilworth,"$2,600.00","$3,920.00",66.33%,"$3,920.00",66.33%
388.,Karra,"Lee, Katherine","$2,600.00","$3,850.00",67.53%,"$3,850.00",67.53%
389.,rayse,- -,"$2,600.00","$3,800.00",68.42%,"$3,800.00",68.42%
390.,panday,- -,"$2,600.00","$3,200.00",81.25%,"$3,200.00",81.25%
391.,WADDLE,Wadir Taraki,"$2,592.67","$4,464.05",58.08%,"$4,464.05",58.08%
392.,phaze,Karim Fouad,"$2,583.34","$3,933.34",65.68%,"$3,933.34",65.68%
393.,Aryu,Philip Vergara,"$2,580.00","$4,972.31",51.89%,"$4,972.31",51.89%
394.,d1srupt,Nereus Lico,"$2,580.00","$2,721.28",94.81%,"$2,721.28",94.81%
395.,ryot,Leon Felipe,"$2,544.75","$8,297.32",30.67%,"$17,722.18",14.36%
396.,Matheuzin,Matheus Brito,"$2,544.75","$10,783.02",23.60%,"$10,833.80",23.49%
397.,luk,Lucas Soares,"$2,544.75","$6,198.70",41.05%,"$10,587.69",24.03%
398.,chase,Davi Mello,"$2,544.75","$6,784.02",37.51%,"$6,784.02",37.51%
399.,Vince,Vincent Kranz,"$2,542.13","$3,423.37",74.26%,"$3,423.37",74.26%
400.,Secret,"Kim, Ha jin","$2,531.20","$12,088.70",20.94%,"$12,088.70",20.94%
401.,Kuro,Mansour Mohammed Al-Ahmed,"$2,521.67","$4,985.95",50.58%,"$4,985.95",50.58%
402.,Evolve,- -,"$2,500.00","$2,500.00",100.00%,"$2,500.00",100.00%
403.,Kelyx,- -,"$2,500.00","$2,500.00",100.00%,"$2,500.00",100.00%
404.,Meddo,Johan Lundborg,"$2,490.04","$36,563.61",6.81%,"$40,601.33",6.13%
405.,Medusa,"An, Min Cheol","$2,471.60","$19,897.63",12.42%,"$56,457.63",4.38%
406.,neth,Yusuke Matsuda,"$2,471.60","$22,029.56",11.22%,"$24,912.85",9.92%
407.,popogachi,"Morita, Souta","$2,471.60","$6,079.33",40.66%,"$6,079.33",40.66%
408.,makiba7,- -,"$2,471.60","$5,868.79",42.11%,"$5,868.79",42.11%
409.,Meiy,- -,"$2,471.60","$3,988.73",61.96%,"$3,988.73",61.96%
410.,Vanity,Anthony Malaspina,"$2,400.00","$43,200.00",5.56%,"$125,296.30",1.92%
411.,frostmind,Rafi Diandra,"$2,400.00","$12,041.61",19.93%,"$12,041.61",19.93%
412.,ZesBeeW,Sha Mohtar,"$2,400.00","$8,604.84",27.89%,"$9,824.23",24.43%
413.,Whimp,Saaransh Dang,"$2,400.00","$5,887.06",40.77%,"$6,531.94",36.74%
414.,Elixllo,- -,"$2,400.00","$2,400.00",100.00%,"$2,400.00",100.00%
415.,Kaizen,Chogyal Bhutia,"$2,400.00","$2,400.00",100.00%,"$2,400.00",100.00%
416.,Akashi,"Châu, Hoàn Thiện Nhân","$2,372.00","$11,959.88",19.83%,"$11,959.88",19.83%
417.,Acerola,"Vũ, Thượng Toàn","$2,372.00","$9,627.10",24.64%,"$10,950.62",21.66%
418.,nTK,"Nguyễn, Tuấn Kiệt","$2,372.00","$8,272.64",28.67%,"$9,165.15",25.88%
419.,DucT,"Hoàng, Trung Đức","$2,372.00","$5,541.55",42.80%,"$5,703.42",41.59%
420.,Moef,"Dương, Phúc Hiếu","$2,372.00","$4,372.71",54.25%,"$4,372.71",54.25%
421.,Leen,- -,"$2,306.67","$2,306.67",100.00%,"$2,306.67",100.00%
422.,HANN,"Kim, Dong-ho","$2,301.00","$6,983.86",32.95%,"$6,983.86",32.95%
423.,BiggieCheese,Aidan Gill,"$2,294.17","$2,394.17",95.82%,"$2,394.17",95.82%
424.,FETA,Cameron Gill,"$2,294.17","$2,394.17",95.82%,"$2,394.17",95.82%
425.,McKinley,Brock Hudson,"$2,294.17","$2,394.17",95.82%,"$2,394.17",95.82%
426.,Sinaway,Norshin Yawanis,"$2,294.17","$2,294.17",100.00%,"$2,294.17",100.00%
427.,Sandra,Sandra Sherif,"$2,285.96","$2,285.96",100.00%,"$2,285.96",100.00%
428.,BaK1,- -,"$2,276.31","$2,276.31",100.00%,"$2,276.31",100.00%
429.,C1Gua,- -,"$2,276.31","$2,276.31",100.00%,"$2,276.31",100.00%
430.,GG SO HARD,- -,"$2,276.31","$2,276.31",100.00%,"$2,276.31",100.00%
431.,Rui2tw,- -,"$2,276.31","$2,276.31",100.00%,"$2,276.31",100.00%
432.,Yongyu,- -,"$2,276.31","$2,276.31",100.00%,"$2,276.31",100.00%
433.,YungEn,- -,"$2,276.31","$2,276.31",100.00%,"$2,276.31",100.00%
434.,SenyorCarL,Carl Carandang,"$2,270.00","$4,575.47",49.61%,"$4,575.47",49.61%
435.,Tockers,Gabriel Claumann,"$2,259.75","$2,624.05",86.12%,"$40,661.64",5.56%
436.,PEPA,Matheus Coletto,"$2,259.75","$5,723.56",39.48%,"$5,895.09",38.33%
437.,duhT,Eduardo Teixeira,"$2,259.75","$2,259.75",100.00%,"$2,259.75",100.00%
438.,guuih,Guilherme Mariano,"$2,259.75","$2,259.75",100.00%,"$2,259.75",100.00%
439.,Zanatsu,Carlos Eduardo,"$2,259.75","$2,259.75",100.00%,"$2,259.75",100.00%
440.,Rexgator,- -,"$2,250.00","$2,400.00",93.75%,"$2,400.00",93.75%
441.,xelouz,Saleh Abdulaziz,"$2,246.67","$4,771.67",47.08%,"$9,189.43",24.45%
442.,Near,Fahad Salem,"$2,246.67","$4,621.67",48.61%,"$4,621.67",48.61%
443.,JustnatioNN,Abdulaziz Salem,"$2,246.67","$2,846.67",78.92%,"$2,846.67",78.92%
444.,DeNaro,Matheus Hipólito,"$2,242.50","$11,849.83",18.92%,"$11,853.19",18.92%
445.,jaymomo,- -,"$2,236.51","$2,236.51",100.00%,"$2,236.51",100.00%
446.,mikasa,- -,"$2,236.51","$2,236.51",100.00%,"$2,236.51",100.00%
447.,moon,- -,"$2,236.51","$2,236.51",100.00%,"$2,236.51",100.00%
448.,Saikoro,- -,"$2,236.51","$2,236.51",100.00%,"$2,236.51",100.00%
449.,zhen,- -,"$2,236.51","$2,236.51",100.00%,"$2,236.51",100.00%
450.,Swerl,Ali Kobraee,"$2,228.00","$3,444.81",64.68%,"$3,444.81",64.68%
451.,Punda,Lachlan Bamford,"$2,228.00","$3,133.73",71.10%,"$3,133.73",71.10%
452.,vong,Vong Nguyen,"$2,223.17","$5,668.57",39.22%,"$5,668.57",39.22%
453.,Sw,Jadisson Rayan,"$2,216.50","$2,216.50",100.00%,"$2,216.50",100.00%
454.,Dev0,Corey Brame,"$2,206.89","$3,142.90",70.22%,"$3,142.90",70.22%
455.,sarah,Sarah Ahmed,"$2,205.08","$2,205.08",100.00%,"$2,205.08",100.00%
456.,Danah,Dana Al-Madhoun,"$2,177.96","$4,064.79",53.58%,"$4,064.79",53.58%
457.,L1NK,Travis Mendoza,"$2,176.72","$78,736.84",2.76%,"$89,126.16",2.44%
458.,Luzuh,Joseph Loose,"$2,176.72","$4,034.68",53.95%,"$22,586.98",9.64%
459.,Russ,Russel Mendes,"$2,176.72","$18,519.47",11.75%,"$22,250.18",9.78%
460.,Kray,Calum Knight,"$2,176.72","$6,289.74",34.61%,"$14,602.00",14.91%
461.,d0rf,"Phạm, Huỳnh Toàn Quốc","$2,150.00","$8,344.09",25.77%,"$8,344.09",25.77%
462.,Nhatthong2k,"Nguyễn, Nhất Thống","$2,150.00","$5,835.75",36.84%,"$6,248.25",34.41%
463.,PTC,Kititkawin Rattanasukol,"$2,128.77","$21,649.77",9.83%,"$41,559.54",5.12%
464.,kongared,Nantapol Boonying,"$2,128.77","$16,480.74",12.92%,"$18,796.28",11.33%
465.,AloNeFillz,Palapoom Thaikum,"$2,128.77","$10,831.36",19.65%,"$11,580.08",18.38%
466.,Kadoom,Kantapon Kingthong,"$2,128.77","$10,852.78",19.61%,"$11,449.79",18.59%
467.,b3ta,Puwadon Jaisuekul,"$2,128.77","$9,239.42",23.04%,"$9,329.08",22.82%
468.,paura0,Melih Karaduran,"$2,124.50","$34,762.64",6.11%,"$34,762.64",6.11%
469.,russ,Batuhan Malgaç,"$2,124.50","$23,277.08",9.13%,"$24,532.08",8.66%
470.,RieNs,Enes Ecirli,"$2,124.50","$4,968.59",42.76%,"$4,968.59",42.76%
471.,reazy,Kaan Ürpek,"$2,124.50","$2,575.16",82.50%,"$2,575.16",82.50%
472.,viness,Nguyễn Tín,"$2,122.00","$2,122.00",100.00%,"$2,122.00",100.00%
473.,Kohaibi,Abigail Kong,"$2,100.00","$3,200.00",65.63%,"$4,396.64",47.76%
474.,Alexy,Alexandria Francisco,"$2,100.00","$3,200.00",65.63%,"$3,200.00",65.63%
475.,shirazi,Kelly Jaudian,"$2,100.00","$3,200.00",65.63%,"$3,200.00",65.63%
476.,Kamiyu,Camille Enriquez,"$2,100.00","$3,100.00",67.74%,"$3,100.00",67.74%
477.,Amir,- -,"$2,100.00","$2,100.00",100.00%,"$2,100.00",100.00%
478.,koki,- -,"$2,100.00","$2,100.00",100.00%,"$2,100.00",100.00%
479.,Melvin,- -,"$2,100.00","$2,100.00",100.00%,"$2,100.00",100.00%
480.,tsalad,- -,"$2,100.00","$2,100.00",100.00%,"$2,100.00",100.00%
481.,RND,Ronaldo Kanashiro,"$2,090.00","$4,330.46",48.26%,"$4,330.46",48.26%
482.,sibeastw0w,Anton Govorukhin,"$2,074.00","$3,075.78",67.43%,"$3,075.78",67.43%
483.,A1mly,Ameen Dibis,"$2,074.00","$3,054.00",67.91%,"$3,054.00",67.91%
484.,dati,Damla Atila,"$2,072.75","$3,502.37",59.18%,"$3,502.37",59.18%
485.,Lyda,İlayda Güzeldere,"$2,072.75","$3,431.40",60.41%,"$3,431.40",60.41%
486.,Julis,Açelya Özgen,"$2,072.75","$2,143.72",96.69%,"$2,143.72",96.69%
487.,Bully,Francisco Betancourt,"$2,035.69","$2,296.50",88.64%,"$2,296.50",88.64%
488.,iFly,Naif Ahmed,"$2,031.67","$6,353.75",31.98%,"$6,353.75",31.98%
489.,ScreaM,Adil Benrlitom,"$2,000.00","$87,799.95",2.28%,"$342,470.00",0.58%
490.,yay,Jaccob Whiteaker,"$2,000.00","$141,440.00",1.41%,"$207,738.82",0.96%
491.,pANcada,Bryan Luna,"$2,000.00","$100,680.09",1.99%,"$149,122.48",1.34%
492.,TenZ,Tyson Ngo,"$2,000.00","$106,754.65",1.87%,"$133,053.22",1.50%
493.,Nivera,Nabil Benrlitom,"$2,000.00","$44,216.84",4.52%,"$129,188.59",1.55%
494.,Sacy,Gustavo Rossi,"$2,000.00","$118,168.48",1.69%,"$125,478.56",1.59%
495.,dephh,Rory Jackson,"$2,000.00","$42,450.00",4.71%,"$123,764.57",1.62%
496.,xms,Alexandre Forté,"$2,000.00","$4,850.53",41.23%,"$89,950.70",2.22%
497.,bENITA,Benita Novshadian,"$2,000.00","$37,560.00",5.32%,"$83,189.96",2.40%
498.,zekken,Zachary Patrone,"$2,000.00","$41,810.00",4.78%,"$41,810.00",4.78%
499.,Shin,Ryad Ensaad,"$2,000.00","$7,620.70",26.24%,"$7,620.70",26.24%
500.,vaiZ,Matías Barría,"$2,000.00","$6,833.33",29.27%,"$6,833.33",29.27%
